,category,N_Splits,N_Sents,TTR,MATTR,HDD,MTLD,FRE,FKG,GF,ARI,CLI,LWF,DCRS,TS
0,family,608,55,0.37664473684210525,0.7968515205724485,0.8201032053636501,70.66699925168372,92.23009688995216,3.141338516746412,4.684976076555024,3.9056115430622,4.149999999999995,5.875,6.262437033492823,3rd and 4th grade
1,family,876,74,0.3641552511415525,0.771970979443772,0.8430022042860937,67.66460686128276,84.04767678637543,4.477213377761323,5.557052943354314,5.893610699740837,6.111187214611871,8.333333333333334,6.404695569542145,5th and 6th grade
2,family,1226,108,0.35073409461663946,0.8006796941376398,0.8449915748797233,86.16141201005951,82.4208638450849,4.583388617001997,5.845797836988702,6.220803576823151,6.348939641109304,4.454545454545454,7.161786762129177,5th and 6th grade
3,family,771,67,0.41374837872892345,0.8015789473684191,0.8656163542988627,76.48055307605722,81.36737673500205,4.768986971756011,5.588717889153455,6.6213967129333895,6.836316472114138,6.125,6.767257179085119,6th and 7th grade
4,family,1026,88,0.35769980506822613,0.7766018423746167,0.8497620557603,70.01233000906619,83.85014553429028,4.4603592947014015,5.599308878256247,5.677177033492821,5.83918128654971,7.142857142857142,6.477100850611377,5th and 6th grade
5,family,1012,91,0.37351778656126483,0.8072897196261702,0.8583762476770229,81.12816817581036,80.85244603222866,4.744771315640882,6.345584849932677,6.14456999522217,6.2972332015810295,6.25,6.9809908613126,5th and 6th grade
6,family,1281,143,0.34582357533177205,0.7847727272727282,0.8580125499562246,80.97422486132841,87.58427359525723,3.2685075580157523,4.363856908119203,5.036374608997562,5.168774395003904,4.0,7.002153775732464,3rd and 4th grade
7,family,1479,129,0.3515889114266396,0.8082797202797191,0.852476798548862,89.1087718783881,81.36829237228174,4.758339229837887,6.371036369640078,6.215681871786408,6.500608519269775,4.7,7.354628861424281,6th and 7th grade
8,community,806,80,0.40198511166253104,0.805442536327605,0.8482143303113926,85.6132298415655,83.24907351116627,4.150664392059554,4.526277915632754,5.579708436724566,5.786104218362283,5.5,7.5645698759305215,5th and 6th grade
9,community,944,82,0.3845338983050847,0.7996871508379861,0.8445117253166771,80.63333333333333,84.7399524596941,4.2997560975609765,5.706572964034725,6.0549640863993375,6.5614406779661,7.142857142857142,7.268490047540306,6th and 7th grade
10,community,1118,103,0.3479427549194991,0.7922544434050509,0.850718644231242,75.61744409258317,81.25216258228113,4.6228103235667035,5.343536481581187,5.5039375966097595,6.068515205724509,8.5,7.041933944109626,5th and 6th grade
11,community,1426,134,0.3576437587657784,0.7984023238925201,0.8548242895410184,84.10784313725489,81.77018798015534,4.497745912792283,5.014079671767391,6.241926377928031,6.456942496493689,12.75,6.999003242553013,5th and 6th grade
12,community,1352,122,0.3276627218934911,0.776531082118188,0.8449995667921064,66.58192705251687,84.7683121544282,4.188919875836646,5.793733630808032,5.783254316616549,6.0588757396449715,4.777777777777778,7.07087711223203,5th and 6th grade
13,community,1247,121,0.3496391339214114,0.8249916527545902,0.8578497470118509,100.23689801699717,87.28336907752158,3.645294690728825,4.924238668672583,5.8942638530821085,5.811547714514834,5.75,7.26261481704852,5th and 6th grade
14,community,1257,116,0.35083532219570407,0.8058278145695362,0.864381607482026,72.66685532350908,85.05534307875895,4.087831111293998,5.734641867610348,5.503473376676816,5.595863166268895,5.444444444444445,7.17621134337366,5th and 6th grade
15,community,1443,123,0.3465003465003465,0.8200717360114783,0.8659177227830093,95.20828737280239,83.24124638710008,4.563328431621116,5.940084174230517,6.154730997413925,6.215384615384618,7.0,7.183805018339164,6th and 7th grade
